INDICE,CAPITOLO,NOME_ALGORITMO,NUMERO_FIGURA
1,CAPITOLO 2. ALGORITMI E CODING, RICERCA1, Figura 2.2
2,CAPITOLO 2. ALGORITMI E CODING, RICERCA2, Figura 2.4
3,CAPITOLO 2. ALGORITMI E CODING, CARICA_RICERCA, Figura 2.6
4,CAPITOLO 2. ALGORITMI E CODING, RICERCA_BINARIA, Figura 2.8
5,CAPITOLO 3. IL TORNEO, MASSIMO, Figura 3.2
6,CAPITOLO 3. IL TORNEO, TORNEO, Figura 3.4
7,CAPITOLO 4. UN PROBLEMA FINANZIARIO, CUBICO, Figura 4.2
8,CAPITOLO 4. UN PROBLEMA FINANZIARIO, QUADRATICO, Figura 4.3
9,CAPITOLO 4. UN PROBLEMA FINANZIARIO, LINEARE, Figura 4.5
10,CAPITOLO 5. METTERE ORDINE, INSERTION_SORT, Figura 5.2
11,CAPITOLO 5. METTERE ORDINE, FUSIONE, Figura 5.4
12,CAPITOLO 5. METTERE ORDINE, MERGE_SORT, Figura 5.6
13,CAPITOLO 5. METTERE ORDINE, COUNTING_SORT, Figura 5.8
14,CAPITOLO 6. MESSAGGI SEGRETI, TRASFORMA, Figura 6.3
15,CAPITOLO 6. MESSAGGI SEGRETI, CIFRA, Figura 6.3
16,CAPITOLO 6. MESSAGGI SEGRETI, ALBERTI, Figura 6.6
17,CAPITOLO 6. MESSAGGI SEGRETI, DISPOSIZIONI_BINARIE, Figura 6.7
18,CAPITOLO 7. PROBLEMI “FACILI” E “DIFFICILI”, PRODOTTO_MATRICI, Figura 7.3
19,CAPITOLO 7. PROBLEMI “FACILI” E “DIFFICILI”, CONNESSIONE, Figura 7.4
20,CAPITOLO 7. PROBLEMI “FACILI” E “DIFFICILI”, GRADI, Figura 7.5
21,CAPITOLO 8. I MOTORI DI RICERCA, INTERSEZIONE1, Figura 8.5
22,CAPITOLO 8. I MOTORI DI RICERCA, INTERSEZIONE2, Figura 8.6
23,CAPITOLO 8. I MOTORI DI RICERCA, INTERSEZIONE3, Figura 8.7
24,CAPITOLO 9. LA COMPRESSIONE DEI TESTI, HUFFMAN, Figura 9.2
25,CAPITOLO 9. LA COMPRESSIONE DEI TESTI, Codifica LZ, Figura 9.6
26,CAPITOLO 9. LA COMPRESSIONE DEI TESTI, Decodifica LZ, Figura 9.6
27,CAPITOLO 9. LA COMPRESSIONE DEI TESTI, BWT_inversa, Figura 9.8
28,CAPITOLO 10. LA RICORSIVITÀ, TORNEO_RIC, Figura 10.1
29,CAPITOLO 10. LA RICORSIVITÀ, TH_RIC, Figura 10.3
30,CAPITOLO 10. LA RICORSIVITÀ, TH_ITER, Figura 10.5
31,CAPITOLO 10. LA RICORSIVITÀ, RB_RIC, Figura 10.6
32,CAPITOLO 10. LA RICORSIVITÀ, MS_RIC, Figura 10.7
33,CAPITOLO 10. LA RICORSIVITÀ, PERMUTAZIONI, Figura 10.8
34,CAPITOLO 10. LA RICORSIVITÀ, PARTIZIONE, Figura 10.9
35,CAPITOLO 10. LA RICORSIVITÀ, QUICK_SORT, Figura 10.12
36,CAPITOLO 10. LA RICORSIVITÀ, TARTAGLIA, Figura 10.13
37,CAPITOLO 10. LA RICORSIVITÀ, FIB, Figura 10.14
